"Date","Price"
2020-11-12,244.810821533203
2020-11-13,245.635009765625
2020-11-16,247.761901855469
2020-11-17,241.469696044922
2020-11-18,239.130035400391
2020-11-19,240.104919433594
2020-11-20,239.112350463867
2020-11-23,240.521484375
2020-11-24,242.21418762207
2020-11-25,242.790145874023
2020-11-27,244.58918762207
2020-11-30,245.847640991211
2020-12-01,245.129837036133
2020-12-02,241.565567016602
2020-12-03,238.92805480957
2020-12-04,235.23014831543
2020-12-07,234.027267456055
2020-12-08,233.207458496094
2020-12-09,236.646942138672
2020-12-10,235.960830688477
2020-12-11,235.729156494141
2020-12-14,236.646942138672
2020-12-15,238.785522460938
2020-12-16,240.220108032227
2020-12-17,244.122894287109
2020-12-18,240.986465454102
2020-12-21,241.467590332031
2020-12-22,240.62109375
2020-12-23,240.416122436523
2020-12-24,241.405227661133
2020-12-28,239.917129516602
2020-12-29,237.190475463867
2020-12-30,236.36181640625
2020-12-31,236.682632446289
2021-01-04,235.167831420898
2021-01-05,237.065780639648
2021-01-06,238.420196533203
2021-01-07,237.2529296875
2021-01-08,239.774536132812
2021-01-11,241.681503295898
2021-01-12,246.225814819336
2021-01-13,244.194244384766
2021-01-14,239.106323242188
2021-01-15,245.566436767578
2021-01-19,243.427871704102
2021-01-20,244.416961669922
2021-01-21,248.649505615234
2021-01-22,253.060256958008
2021-01-25,254.022537231445
2021-01-26,251.812805175781
2021-01-27,244.194244384766
2021-01-28,247.758453369141
2021-01-29,241.316116333008
2021-02-01,240.64778137207
2021-02-02,242.510147094727
2021-02-03,244.301177978516
2021-02-04,248.444564819336
2021-02-05,248.48014831543
2021-02-08,249.522750854492
2021-02-09,246.617889404297
2021-02-10,248.328704833984
2021-02-11,246.876312255859
2021-02-12,247.277252197266
2021-02-16,245.388229370117
2021-02-17,250.31575012207
2021-02-18,252.213714599609
2021-02-19,249.175201416016
2021-02-22,245.798126220703
2021-02-23,238.126083374023
2021-02-24,231.648101806641
2021-02-25,227.442352294922
2021-02-26,230.195663452148
2021-03-01,233.118377685547
2021-03-02,231.933258056641
2021-03-03,229.32243347168
2021-03-04,223.593002319336
2021-03-05,225.900848388672
2021-03-08,230.810516357422
2021-03-09,236.094512939453
2021-03-10,238.721649169922
2021-03-11,241.061904907227
2021-03-12,244.872650146484
2021-03-15,249.750396728516
2021-03-16,252.924468994141
2021-03-17,251.086364746094
2021-03-18,253.892822265625
2021-03-19,259.218902587891
2021-03-22,259.075469970703
2021-03-23,260.007995605469
2021-03-24,262.491577148438
2021-03-25,266.463684082031
2021-03-26,272.408477783203
2021-03-29,270.964874267578
2021-03-30,273.314056396484
2021-03-31,273.699523925781
2021-04-01,275.941284179688
2021-04-05,282.800506591797
2021-04-06,281.347961425781
2021-04-07,280.173431396484
2021-04-08,281.930847167969
2021-04-09,286.234680175781
2021-04-12,287.633483886719
2021-04-13,287.283752441406
2021-04-14,286.943023681641
2021-04-15,289.3818359375
2021-04-16,294.169952392578
2021-04-19,293.067077636719
2021-04-20,290.475769042969
2021-04-21,292.260101318359
2021-04-22,288.234191894531
2021-04-23,290.412994384766
2021-04-26,286.916198730469
2021-04-27,287.454162597656
2021-04-28,286.665100097656
2021-04-29,291.713195800781
2021-04-30,290.215789794922
2021-05-03,296.133544921875
2021-05-04,298.375152587891
2021-05-05,297.729583740234
2021-05-06,302.688018798828
2021-05-07,304.185424804688
2021-05-10,305.862121582031
2021-05-11,296.483245849609
2021-05-12,284.235168457031
2021-05-13,291.784881591797
2021-05-14,290.179931640625
2021-05-17,286.934051513672
2021-05-18,284.010986328125
2021-05-19,281.94873046875
2021-05-20,283.248779296875
2021-05-21,283.132232666016
2021-05-24,282.298461914062
2021-05-25,284.010986328125
2021-05-26,284.531066894531
2021-05-27,285.822235107422
2021-05-28,285.94775390625
2021-06-01,283.616485595703
2021-06-02,282.327606201172
2021-06-03,280.705230712891
2021-06-04,280.326568603516
2021-06-07,279.380187988281
2021-06-08,280.227508544922
2021-06-09,277.018646240234
2021-06-10,277.892913818359
2021-06-11,280.110229492188
2021-06-14,278.803283691406
2021-06-15,276.216491699219
2021-06-16,272.908508300781
2021-06-17,273.214965820312
2021-06-18,272.755279541016
2021-06-21,277.252990722656
2021-06-22,281.858917236328
2021-06-23,280.921508789062
2021-06-24,281.07470703125
2021-06-25,282.688079833984
2021-06-28,283.274047851562
2021-06-29,286.84326171875
2021-06-30,287.429138183594
2021-07-01,289.817718505859
2021-07-02,290.863311767578
2021-07-06,287.762664794922
2021-07-07,291.566284179688
2021-07-08,287.113708496094
2021-07-09,290.313446044922
2021-07-12,289.997955322266
2021-07-13,285.770690917969
2021-07-14,287.726593017578
2021-07-15,290.872314453125
2021-07-16,289.817718505859
2021-07-19,287.411193847656
2021-07-20,293.251831054688
2021-07-21,294.162200927734
2021-07-22,294.4326171875
2021-07-23,300.002868652344
2021-07-26,298.506622314453
2021-07-27,294.973358154297
2021-07-28,293.405059814453
2021-07-29,295.126647949219
2021-07-30,295.811645507812
2021-08-02,294.937316894531
2021-08-03,299.191650390625
2021-08-04,297.722534179688
2021-08-05,300.246185302734
2021-08-06,297.298889160156
2021-08-09,296.325500488281
2021-08-10,298.777069091797
2021-08-11,303.752502441406
2021-08-12,301.066528320312
2021-08-13,298.632843017578
2021-08-16,301.994873046875
2021-08-17,289.105712890625
2021-08-18,289.826721191406
2021-08-19,291.043548583984
2021-08-20,296.758026123047
2021-08-23,295.406097412109
2021-08-24,292.84619140625
2021-08-25,291.926910400391
2021-08-26,289.763610839844
2021-08-27,291.476196289062
