"Date","Price"
2020-11-12,327.690490722656
2020-11-13,328.855438232422
2020-11-16,329.918792724609
2020-11-17,325.554534912109
2020-11-18,318.536865234375
2020-11-19,311.592987060547
2020-11-20,309.466430664062
2020-11-23,309.799346923828
2020-11-24,310.677673339844
2020-11-25,308.070220947266
2020-11-27,312.462127685547
2020-11-30,310.982727050781
2020-12-01,315.467163085938
2020-12-02,321.356903076172
2020-12-03,322.392333984375
2020-12-04,324.675170898438
2020-12-07,322.791442871094
2020-12-08,322.791442871094
2020-12-09,319.590087890625
2020-12-10,315.173095703125
2020-12-11,312.779052734375
2020-12-14,311.906860351562
2020-12-15,315.191711425781
2020-12-16,314.885437011719
2020-12-17,317.047576904297
2020-12-18,313.99462890625
2020-12-21,311.8603515625
2020-12-22,310.867492675781
2020-12-23,313.261596679688
2020-12-24,316.230987548828
2020-12-28,321.019104003906
2020-12-29,322.318237304688
2020-12-30,320.128295898438
2020-12-31,325.408233642578
2021-01-04,324.313293457031
2021-01-05,319.951965332031
2021-01-06,333.379089355469
2021-01-07,338.724090576172
2021-01-08,337.202239990234
2021-01-11,334.752471923828
2021-01-12,331.616088867188
2021-01-13,329.454010009766
2021-01-14,325.268981933594
2021-01-15,325.983551025391
2021-01-19,326.809326171875
2021-01-20,325.556640625
2021-01-21,329.416870117188
2021-01-22,322.503784179688
2021-01-25,322.744995117188
2021-01-26,318.383697509766
2021-01-27,308.993011474609
2021-01-28,313.781219482422
2021-01-29,309.540557861328
2021-02-01,309.930236816406
2021-02-02,314.310089111328
2021-02-03,313.539916992188
2021-02-04,305.587585449219
2021-02-05,301.124267578125
2021-02-08,300.966430664062
2021-02-09,305.875152587891
2021-02-10,309.373504638672
2021-02-11,309.067291259766
2021-02-12,304.585418701172
2021-02-16,301.226287841797
2021-02-17,303.304840087891
2021-02-18,304.743194580078
2021-02-19,301.189086914062
2021-02-22,304.028594970703
2021-02-23,305.763885498047
2021-02-24,308.269226074219
2021-02-25,305.169982910156
2021-02-26,308.278472900391
2021-03-01,310.533416748047
2021-03-02,310.524169921875
2021-03-03,308.881713867188
2021-03-04,309.753936767578
2021-03-05,322.086212158203
2021-03-08,324.934936523438
2021-03-09,326.614562988281
2021-03-10,324.406127929688
2021-03-11,327.653839111328
2021-03-12,331.537048339844
2021-03-15,329.544250488281
2021-03-16,330.214752197266
2021-03-17,327.961120605469
2021-03-18,337.15234375
2021-03-19,340.439636230469
2021-03-22,341.631652832031
2021-03-23,343.158935546875
2021-03-24,345.114471435547
2021-03-25,345.570739746094
2021-03-26,350.590057373047
2021-03-29,352.992584228516
2021-03-30,347.870849609375
2021-03-31,346.483276367188
2021-04-01,341.827178955078
2021-04-05,344.723358154297
2021-04-06,339.312835693359
2021-04-07,340.495483398438
2021-04-08,339.797058105469
2021-04-09,350.422393798828
2021-04-12,350.403747558594
2021-04-13,348.746276855469
2021-04-14,349.798492431641
2021-04-15,363.189605712891
2021-04-16,364.120849609375
2021-04-19,363.031311035156
2021-04-20,369.261260986328
2021-04-21,371.384490966797
2021-04-22,369.270599365234
2021-04-23,372.781280517578
2021-04-26,368.637420654297
2021-04-27,367.370849609375
2021-04-28,367.454681396484
2021-04-29,373.93603515625
2021-04-30,371.375122070312
2021-05-03,377.986877441406
2021-05-04,383.052764892578
2021-05-05,384.133026123047
2021-05-06,386.433197021484
2021-05-07,388.928924560547
2021-05-10,391.946014404297
2021-05-11,383.388061523438
2021-05-12,377.493408203125
2021-05-13,380.463897705078
2021-05-14,381.618743896484
2021-05-17,380.529205322266
2021-05-18,382.158782958984
2021-05-19,381.33935546875
2021-05-20,380.538513183594
2021-05-21,383.322784423828
2021-05-24,382.689605712891
2021-05-25,384.645202636719
2021-05-26,384.794158935547
2021-05-27,384.319274902344
2021-05-28,383.592864990234
2021-06-01,378.75048828125
2021-06-02,377.940368652344
2021-06-03,379.905181884766
2021-06-04,377.744781494141
2021-06-07,372.725524902344
2021-06-08,374.113006591797
2021-06-09,373.516967773438
2021-06-10,373.880157470703
2021-06-11,370.527740478516
2021-06-14,371.710357666016
2021-06-15,372.753387451172
2021-06-16,369.931732177734
2021-06-17,370.02490234375
2021-06-18,363.921661376953
2021-06-21,372.053009033203
2021-06-22,372.632598876953
2021-06-23,369.707061767578
2021-06-24,372.800659179688
2021-06-25,378.483367919922
2021-06-28,375.221527099609
2021-06-29,372.0810546875
2021-06-30,374.268096923828
2021-07-01,378.427398681641
2021-07-02,382.605163574219
2021-07-06,383.446319580078
2021-07-07,384.754821777344
2021-07-08,383.156555175781
2021-07-09,385.175415039062
2021-07-12,388.848571777344
2021-07-13,391.185211181641
2021-07-14,387.633514404297
2021-07-15,392.596466064453
2021-07-16,392.269348144531
2021-07-19,382.324737548828
2021-07-20,385.979187011719
2021-07-21,387.540069580078
2021-07-22,388.596221923828
2021-07-23,390.400085449219
2021-07-26,386.511993408203
2021-07-27,387.969909667969
2021-07-28,382.427551269531
2021-07-29,385.147430419922
2021-07-30,385.278228759766
2021-08-02,388.409271240234
2021-08-03,394.325561523438
2021-08-04,393.989135742188
2021-08-05,384.315551757812
2021-08-06,387.988708496094
2021-08-09,384.016387939453
2021-08-10,384.866973876953
2021-08-11,381.091003417969
2021-08-12,379.427307128906
2021-08-13,382.894958496094
2021-08-16,389.942016601562
2021-08-17,394.21337890625
2021-08-18,390.044921875
2021-08-19,399.924041748047
2021-08-20,401.625091552734
2021-08-23,397.559356689453
2021-08-24,395.73681640625
2021-08-25,392.306762695312
2021-08-26,389.605621337891
2021-08-27,391.390808105469
