"Date","Price"
2020-11-12,116.045227050781
2020-11-13,116.09391784668
2020-11-16,117.106307983398
2020-11-17,116.220474243164
2020-11-18,114.896560668945
2020-11-19,115.490394592285
2020-11-20,114.224876403809
2020-11-23,110.827545166016
2020-11-24,112.112495422363
2020-11-25,112.949676513672
2020-11-27,113.494804382324
2020-11-30,115.889503479004
2020-12-01,119.462066650391
2020-12-02,119.812522888184
2020-12-03,119.676239013672
2020-12-04,119.004531860352
2020-12-07,120.464721679688
2020-12-08,121.078002929688
2020-12-09,118.547019958496
2020-12-10,119.968269348145
2020-12-11,119.160285949707
2020-12-14,118.547019958496
2020-12-15,124.485084533691
2020-12-16,124.416931152344
2020-12-17,125.283294677734
2020-12-18,123.297477722168
2020-12-21,124.825782775879
2020-12-22,128.378890991211
2020-12-23,127.483337402344
2020-12-24,128.466506958008
2020-12-28,133.061141967773
2020-12-29,131.289505004883
2020-12-30,130.170074462891
2020-12-31,129.167388916016
2021-01-04,125.974464416504
2021-01-05,127.532028198242
2021-01-06,123.239051818848
2021-01-07,127.444389343262
2021-01-08,128.544387817383
2021-01-11,125.555854797363
2021-01-12,125.380653381348
2021-01-13,127.415168762207
2021-01-14,125.487747192383
2021-01-15,123.76473236084
2021-01-19,124.436416625977
2021-01-20,128.524948120117
2021-01-21,133.236434936523
2021-01-22,135.378005981445
2021-01-25,139.125793457031
2021-01-26,139.359466552734
2021-01-27,138.288619995117
2021-01-28,133.450592041016
2021-01-29,128.456802368164
2021-02-01,130.578918457031
2021-02-02,131.406311035156
2021-02-03,130.384185791016
2021-02-04,133.742614746094
2021-02-05,133.328247070312
2021-02-08,133.474533081055
2021-02-09,132.597091674805
2021-02-10,131.992645263672
2021-02-11,131.739196777344
2021-02-12,131.973175048828
2021-02-16,129.847854614258
2021-02-17,127.55680847168
2021-02-18,126.455177307129
2021-02-19,126.61116027832
2021-02-22,122.838272094727
2021-02-23,122.701774597168
2021-02-24,122.204574584961
2021-02-25,117.953994750977
2021-02-26,118.217216491699
2021-03-01,124.583358764648
2021-03-02,121.980354309082
2021-03-03,118.997146606445
2021-03-04,117.115577697754
2021-03-05,118.373199462891
2021-03-08,113.440170288086
2021-03-09,118.051467895508
2021-03-10,116.969352722168
2021-03-11,118.899635314941
2021-03-12,117.992973327637
2021-03-15,120.878715515137
2021-03-16,122.419067382812
2021-03-17,121.62939453125
2021-03-18,117.505531311035
2021-03-19,116.97908782959
2021-03-22,120.293754577637
2021-03-23,119.465103149414
2021-03-24,117.076568603516
2021-03-25,117.564025878906
2021-03-26,118.168479919434
2021-03-29,118.343948364258
2021-03-30,116.891334533691
2021-03-31,119.084892272949
2021-04-01,119.913558959961
2021-04-05,122.740768432617
2021-04-06,123.043014526367
2021-04-07,124.69059753418
2021-04-08,127.088874816895
2021-04-09,129.662628173828
2021-04-12,127.946823120117
2021-04-13,131.056716918945
2021-04-14,128.716995239258
2021-04-15,131.124969482422
2021-04-16,130.793518066406
2021-04-19,131.456466674805
2021-04-20,129.76985168457
2021-04-21,130.150085449219
2021-04-22,128.62922668457
2021-04-23,130.949493408203
2021-04-26,131.339477539062
2021-04-27,131.017730712891
2021-04-28,130.228042602539
2021-04-29,130.130569458008
2021-04-30,128.161285400391
2021-05-03,129.214157104492
2021-05-04,124.641860961914
2021-05-05,124.885589599609
2021-05-06,126.484443664551
2021-05-07,127.158248901367
2021-05-10,123.876991271973
2021-05-11,122.959053039551
2021-05-12,119.892639160156
2021-05-13,122.041069030762
2021-05-14,124.462913513184
2021-05-17,123.310585021973
2021-05-18,121.923889160156
2021-05-19,121.767623901367
2021-05-20,124.326217651367
2021-05-21,122.490280151367
2021-05-24,124.121147155762
2021-05-25,123.925842285156
2021-05-26,123.876991271973
2021-05-27,122.343795776367
2021-05-28,121.689514160156
2021-06-01,121.367233276367
2021-06-02,122.128959655762
2021-06-03,120.644577026367
2021-06-04,122.939521789551
2021-06-07,122.949264526367
2021-06-08,123.769569396973
2021-06-09,124.150444030762
2021-06-10,123.154342651367
2021-06-11,124.365295410156
2021-06-14,127.421897888184
2021-06-15,126.601593017578
2021-06-16,127.099655151367
2021-06-17,128.701187133789
2021-06-18,127.402404785156
2021-06-21,129.199264526367
2021-06-22,130.839904785156
2021-06-23,130.566452026367
2021-06-24,130.283279418945
2021-06-25,129.990295410156
2021-06-28,131.621154785156
2021-06-29,133.134811401367
2021-06-30,133.750061035156
2021-07-01,134.052795410156
2021-07-02,136.679748535156
2021-07-06,138.691467285156
2021-07-07,141.181701660156
2021-07-08,139.882888793945
2021-07-09,141.709060668945
2021-07-12,141.113327026367
2021-07-13,142.226623535156
2021-07-14,145.654357910156
2021-07-15,145.000091552734
2021-07-16,142.959030151367
2021-07-19,139.111389160156
2021-07-20,142.724655151367
2021-07-21,141.992218017578
2021-07-22,143.359420776367
2021-07-23,145.078170776367
2021-07-26,145.498107910156
2021-07-27,143.330154418945
2021-07-28,141.582077026367
2021-07-29,142.226623535156
2021-07-30,142.441452026367
2021-08-02,142.109451293945
2021-08-03,143.906280517578
2021-08-04,143.505920410156
2021-08-05,143.613372802734
2021-08-06,142.9287109375
2021-08-09,142.879821777344
2021-08-10,142.400588989258
2021-08-11,142.654891967773
2021-08-12,145.61833190918
2021-08-13,145.823699951172
2021-08-16,147.799270629883
2021-08-17,146.889739990234
2021-08-18,143.14387512207
2021-08-19,143.476409912109
2021-08-20,144.933670043945
2021-08-23,146.420288085938
2021-08-24,146.332244873047
2021-08-25,145.099914550781
2021-08-26,144.297927856445
2021-08-27,145.334671020508
